pair_id,question,error_family,truthful_sample_id,hallucinated_sample_id,truthful_answer,hallucinated_answer,delta_norm,base_id,raw_umap_pc1,raw_umap_pc2
b03_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b03_definition_substitution,hallucinated_b03_definition_substitution,Claim: Gold has the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,Claim: Gold has the chemical formula Au. Supporting note: The abbreviation comes from the Latin word aurum.,0.31042352318763733,b03,1.0722774,4.5357337
b03_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b03_entity_swap,hallucinated_b03_entity_swap,Claim: Gold has the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,Claim: Gold has the chemical symbol Ag. Supporting note: The abbreviation comes from the Latin word aurum.,0.3162468671798706,b03,0.25256443,4.2668366
b03_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b03_numeric_distortion,hallucinated_b03_numeric_distortion,Claim: Gold has the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,Claim: Gold has the chemical symbol Au2. Supporting note: The abbreviation comes from the Latin word aurum.,0.25959908962249756,b03,1.8891973,3.3395572
b03_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b03_role_inversion,hallucinated_b03_role_inversion,Claim: Gold has the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,Claim: Au has the chemical symbol gold rather than gold having the chemical symbol Au. Supporting note: The abbreviation comes from the Latin word aurum.,0.5004174709320068,b03,-0.7980498,3.3853896
b04_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b04_causal_substitution,hallucinated_b04_causal_substitution,Claim: Lisbon is the capital of Portugal. Supporting note: It lies on the western side of the Iberian Peninsula.,Claim: Lisbon is the capital of Portugal because it is the country's tallest mountain. Supporting note: It lies on the western side of the Iberian Peninsula.,0.39743536710739136,b04,0.10524619,6.0617447
b04_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b04_definition_substitution,hallucinated_b04_definition_substitution,Claim: Lisbon is the capital of Portugal. Supporting note: It lies on the western side of the Iberian Peninsula.,Claim: Lisbon is the largest province of Portugal. Supporting note: It lies on the western side of the Iberian Peninsula.,0.733781099319458,b04,1.0555962,3.9741392
b04_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b04_entity_swap,hallucinated_b04_entity_swap,Claim: Lisbon is the capital of Portugal. Supporting note: It lies on the western side of the Iberian Peninsula.,Claim: Madrid is the capital of Portugal. Supporting note: It lies on the western side of the Iberian Peninsula.,0.4178992211818695,b04,0.4892956,3.673386
b04_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b04_numeric_distortion,hallucinated_b04_numeric_distortion,Claim: Lisbon is the capital of Portugal. Supporting note: It lies on the western side of the Iberian Peninsula.,Claim: Lisbon is one of the two capitals of Portugal. Supporting note: It lies on the western side of the Iberian Peninsula.,0.3518681526184082,b04,2.6987696,2.7696018
b04_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b04_role_inversion,hallucinated_b04_role_inversion,Claim: Lisbon is the capital of Portugal. Supporting note: It lies on the western side of the Iberian Peninsula.,Claim: Portugal is the capital of Lisbon rather than Lisbon being the capital of Portugal. Supporting note: It lies on the western side of the Iberian Peninsula.,0.4623207151889801,b04,-0.7285903,2.8881166
b05_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b05_causal_substitution,hallucinated_b05_causal_substitution,Claim: Day and night alternate because Earth rotates on its axis. Supporting note: The cycle repeats over roughly twenty-four hours.,Claim: Day and night alternate because the Moon covers different parts of the sky on a schedule. Supporting note: The cycle repeats over roughly twenty-four hours.,0.41243427991867065,b05,0.5878588,3.3758383
b05_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b05_definition_substitution,hallucinated_b05_definition_substitution,Claim: Day and night alternate because Earth rotates on its axis. Supporting note: The cycle repeats over roughly twenty-four hours.,Claim: Day and night alternate because Earth revolves on its axis. Supporting note: The cycle repeats over roughly twenty-four hours.,0.08342492580413818,b05,0.6864517,4.4512143
b05_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b05_entity_swap,hallucinated_b05_entity_swap,Claim: Day and night alternate because Earth rotates on its axis. Supporting note: The cycle repeats over roughly twenty-four hours.,Claim: Day and night alternate because Mars rotates on its axis. Supporting note: The cycle repeats over roughly twenty-four hours.,0.6020809412002563,b05,0.8117559,3.422628
b05_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b05_numeric_distortion,hallucinated_b05_numeric_distortion,Claim: Day and night alternate because Earth rotates on its axis. Supporting note: The cycle repeats over roughly twenty-four hours.,Claim: Day and night alternate because Earth rotates on its axis every twelve hours. Supporting note: The cycle repeats over roughly twenty-four hours.,0.14168234169483185,b05,0.03907537,2.9599252
b05_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b05_role_inversion,hallucinated_b05_role_inversion,Claim: Day and night alternate because Earth rotates on its axis. Supporting note: The cycle repeats over roughly twenty-four hours.,Claim: Earth rotates because day and night alternate rather than day and night alternating because Earth rotates. Supporting note: The cycle repeats over roughly twenty-four hours.,0.47352680563926697,b05,0.16124094,5.01033
b06_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b06_causal_substitution,hallucinated_b06_causal_substitution,Claim: Jane Austen wrote Pride and Prejudice. Supporting note: The novel is a standard work in English literature courses.,Claim: Jane Austen wrote Pride and Prejudice because the title was assigned to her by a royal court. Supporting note: The novel is a standard work in English literature courses.,0.5603975057601929,b06,0.23712741,6.381748
b06_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b06_definition_substitution,hallucinated_b06_definition_substitution,Claim: Jane Austen wrote Pride and Prejudice. Supporting note: The novel is a standard work in English literature courses.,Claim: Jane Austen translated Pride and Prejudice. Supporting note: The novel is a standard work in English literature courses.,0.6839460730552673,b06,0.40170768,3.238576
b06_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b06_entity_swap,hallucinated_b06_entity_swap,Claim: Jane Austen wrote Pride and Prejudice. Supporting note: The novel is a standard work in English literature courses.,Claim: Charlotte Bronte wrote Pride and Prejudice. Supporting note: The novel is a standard work in English literature courses.,0.36970776319503784,b06,0.6905022,3.533455
b06_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b06_numeric_distortion,hallucinated_b06_numeric_distortion,Claim: Jane Austen wrote Pride and Prejudice. Supporting note: The novel is a standard work in English literature courses.,Claim: Jane Austen wrote the three-volume poem Pride and Prejudice. Supporting note: The novel is a standard work in English literature courses.,0.4669516682624817,b06,1.4191633,3.1792307
b06_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b06_role_inversion,hallucinated_b06_role_inversion,Claim: Jane Austen wrote Pride and Prejudice. Supporting note: The novel is a standard work in English literature courses.,Claim: Pride and Prejudice wrote Jane Austen rather than Jane Austen writing Pride and Prejudice. Supporting note: The novel is a standard work in English literature courses.,0.6821163892745972,b06,-0.8004099,2.7446291
b07_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b07_causal_substitution,hallucinated_b07_causal_substitution,Claim: The mantle is the layer directly beneath Earth's crust. Supporting note: It is made largely of hot rock over geological timescales.,Claim: The mantle is the layer directly beneath Earth's crust because sunlight pushes it downward. Supporting note: It is made largely of hot rock over geological timescales.,0.23953384160995483,b07,-0.36431953,5.7560234
b07_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b07_definition_substitution,hallucinated_b07_definition_substitution,Claim: The mantle is the layer directly beneath Earth's crust. Supporting note: It is made largely of hot rock over geological timescales.,Claim: The mantle is the atmosphere directly beneath Earth's crust. Supporting note: It is made largely of hot rock over geological timescales.,0.3985949456691742,b07,0.10529165,4.501346
b07_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b07_entity_swap,hallucinated_b07_entity_swap,Claim: The mantle is the layer directly beneath Earth's crust. Supporting note: It is made largely of hot rock over geological timescales.,Claim: The core is the layer directly beneath Earth's crust. Supporting note: It is made largely of hot rock over geological timescales.,0.651865541934967,b07,0.82479465,4.1144056
b07_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b07_numeric_distortion,hallucinated_b07_numeric_distortion,Claim: The mantle is the layer directly beneath Earth's crust. Supporting note: It is made largely of hot rock over geological timescales.,Claim: The mantle is the second layer directly beneath Earth's crust. Supporting note: It is made largely of hot rock over geological timescales.,0.3570222556591034,b07,2.4050505,2.895124
b07_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b07_role_inversion,hallucinated_b07_role_inversion,Claim: The mantle is the layer directly beneath Earth's crust. Supporting note: It is made largely of hot rock over geological timescales.,Claim: Earth's crust is the layer directly beneath the mantle rather than the mantle being directly beneath the crust. Supporting note: It is made largely of hot rock over geological timescales.,0.4388052523136139,b07,-0.28754976,4.9086695
b08_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b08_causal_substitution,hallucinated_b08_causal_substitution,Claim: A thermometer measures body temperature. Supporting note: Clinicians use it when checking for fever.,Claim: A thermometer measures body temperature because it listens to the heartbeat. Supporting note: Clinicians use it when checking for fever.,0.28552642464637756,b08,-0.080847226,6.3064523
b08_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b08_definition_substitution,hallucinated_b08_definition_substitution,Claim: A thermometer measures body temperature. Supporting note: Clinicians use it when checking for fever.,Claim: A thermometer is a treatment for body temperature. Supporting note: Clinicians use it when checking for fever.,0.4514749348163605,b08,0.85658497,2.7696493
b08_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b08_entity_swap,hallucinated_b08_entity_swap,Claim: A thermometer measures body temperature. Supporting note: Clinicians use it when checking for fever.,Claim: A stethoscope measures body temperature. Supporting note: Clinicians use it when checking for fever.,0.5668410658836365,b08,1.1252825,5.4082017
b08_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b08_numeric_distortion,hallucinated_b08_numeric_distortion,Claim: A thermometer measures body temperature. Supporting note: Clinicians use it when checking for fever.,Claim: A thermometer measures the body's ten-point temperature scale. Supporting note: Clinicians use it when checking for fever.,0.39025089144706726,b08,0.6977942,2.2224782
b08_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b08_role_inversion,hallucinated_b08_role_inversion,Claim: A thermometer measures body temperature. Supporting note: Clinicians use it when checking for fever.,Claim: Body temperature measures a thermometer rather than a thermometer measuring body temperature. Supporting note: Clinicians use it when checking for fever.,0.42234161496162415,b08,-0.31796354,2.33447
b09_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b09_causal_substitution,hallucinated_b09_causal_substitution,Claim: The Bill of Rights contains ten amendments. Supporting note: These amendments protect a set of foundational civil liberties.,Claim: The Bill of Rights contains ten amendments because the Supreme Court rewrites them daily. Supporting note: These amendments protect a set of foundational civil liberties.,0.3555566668510437,b09,-0.9585102,5.573265
b09_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b09_definition_substitution,hallucinated_b09_definition_substitution,Claim: The Bill of Rights contains ten amendments. Supporting note: These amendments protect a set of foundational civil liberties.,Claim: The Bill of Rights contains ten court rulings. Supporting note: These amendments protect a set of foundational civil liberties.,0.4965123236179352,b09,-0.51427305,5.3578086
b09_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b09_entity_swap,hallucinated_b09_entity_swap,Claim: The Bill of Rights contains ten amendments. Supporting note: These amendments protect a set of foundational civil liberties.,Claim: The Constitution contains ten amendments. Supporting note: These amendments protect a set of foundational civil liberties.,0.39762845635414124,b09,-0.50356793,4.4017086
b09_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b09_numeric_distortion,hallucinated_b09_numeric_distortion,Claim: The Bill of Rights contains ten amendments. Supporting note: These amendments protect a set of foundational civil liberties.,Claim: The Bill of Rights contains twelve amendments. Supporting note: These amendments protect a set of foundational civil liberties.,0.2927588224411011,b09,1.5975331,3.1688528
b09_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b09_role_inversion,hallucinated_b09_role_inversion,Claim: The Bill of Rights contains ten amendments. Supporting note: These amendments protect a set of foundational civil liberties.,Claim: Ten amendments contain the Bill of Rights rather than the Bill of Rights containing ten amendments. Supporting note: These amendments protect a set of foundational civil liberties.,0.5468801259994507,b09,-1.1407932,3.8784356
b10_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b10_causal_substitution,hallucinated_b10_causal_substitution,Claim: An antonym is a word with an opposite meaning. Supporting note: This concept is taught in basic vocabulary study.,Claim: An antonym is a word with an opposite meaning because opposite words always rhyme. Supporting note: This concept is taught in basic vocabulary study.,0.4339550733566284,b10,1.0967975,5.9039617
b10_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b10_definition_substitution,hallucinated_b10_definition_substitution,Claim: An antonym is a word with an opposite meaning. Supporting note: This concept is taught in basic vocabulary study.,Claim: An antonym is a sentence with an opposite meaning. Supporting note: This concept is taught in basic vocabulary study.,0.3356630504131317,b10,2.0805776,4.322106
b10_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b10_entity_swap,hallucinated_b10_entity_swap,Claim: An antonym is a word with an opposite meaning. Supporting note: This concept is taught in basic vocabulary study.,Claim: A synonym is a word with an opposite meaning. Supporting note: This concept is taught in basic vocabulary study.,0.633307158946991,b10,1.1784714,4.765328
b10_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b10_numeric_distortion,hallucinated_b10_numeric_distortion,Claim: An antonym is a word with an opposite meaning. Supporting note: This concept is taught in basic vocabulary study.,Claim: An antonym is a word with two opposite meanings at once. Supporting note: This concept is taught in basic vocabulary study.,0.3355739712715149,b10,2.8364694,3.0679233
b10_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b10_role_inversion,hallucinated_b10_role_inversion,Claim: An antonym is a word with an opposite meaning. Supporting note: This concept is taught in basic vocabulary study.,Claim: An opposite meaning is a word with an antonym rather than an antonym being a word with an opposite meaning. Supporting note: This concept is taught in basic vocabulary study.,0.3661818504333496,b10,0.97532415,3.4994836
b11_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b11_causal_substitution,hallucinated_b11_causal_substitution,Claim: A triangle has three sides. Supporting note: This is one of the most basic geometric definitions.,Claim: A triangle has three sides because parallel lines force it to close that way. Supporting note: This is one of the most basic geometric definitions.,0.5501563549041748,b11,-0.5195349,6.114107
b11_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b11_definition_substitution,hallucinated_b11_definition_substitution,Claim: A triangle has three sides. Supporting note: This is one of the most basic geometric definitions.,Claim: A triangle is a curve with three sides. Supporting note: This is one of the most basic geometric definitions.,0.49276867508888245,b11,1.1294197,3.7305489
b11_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b11_entity_swap,hallucinated_b11_entity_swap,Claim: A triangle has three sides. Supporting note: This is one of the most basic geometric definitions.,Claim: A square has three sides. Supporting note: This is one of the most basic geometric definitions.,0.6712357997894287,b11,0.84840435,5.2169333
b11_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b11_numeric_distortion,hallucinated_b11_numeric_distortion,Claim: A triangle has three sides. Supporting note: This is one of the most basic geometric definitions.,Claim: A triangle has four sides. Supporting note: This is one of the most basic geometric definitions.,0.3792547583580017,b11,0.9365921,5.0839114
b11_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b11_role_inversion,hallucinated_b11_role_inversion,Claim: A triangle has three sides. Supporting note: This is one of the most basic geometric definitions.,Claim: Three sides have a triangle rather than a triangle having three sides. Supporting note: This is one of the most basic geometric definitions.,0.6606890559196472,b11,-1.011609,3.0511842
b12_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b12_causal_substitution,hallucinated_b12_causal_substitution,Claim: A standard violin has four strings. Supporting note: The instrument is commonly tuned in fifths.,Claim: A standard violin has four strings because the wood grain grows in quarters. Supporting note: The instrument is commonly tuned in fifths.,0.3012142777442932,b12,-0.73240954,4.742223
b12_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b12_definition_substitution,hallucinated_b12_definition_substitution,Claim: A standard violin has four strings. Supporting note: The instrument is commonly tuned in fifths.,Claim: A standard violin has four keys. Supporting note: The instrument is commonly tuned in fifths.,0.5807474255561829,b12,-0.028790615,3.5068753
b12_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b12_entity_swap,hallucinated_b12_entity_swap,Claim: A standard violin has four strings. Supporting note: The instrument is commonly tuned in fifths.,Claim: A standard cello has four strings. Supporting note: The instrument is commonly tuned in fifths.,0.5580068826675415,b12,0.1103534,4.3005857
b12_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b12_numeric_distortion,hallucinated_b12_numeric_distortion,Claim: A standard violin has four strings. Supporting note: The instrument is commonly tuned in fifths.,Claim: A standard violin has five strings. Supporting note: The instrument is commonly tuned in fifths.,0.24223478138446808,b12,0.33214515,2.7943294
b12_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b12_role_inversion,hallucinated_b12_role_inversion,Claim: A standard violin has four strings. Supporting note: The instrument is commonly tuned in fifths.,Claim: Four strings have a standard violin rather than a standard violin having four strings. Supporting note: The instrument is commonly tuned in fifths.,0.4153369069099426,b12,-1.2955374,3.8150966
b13_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b13_causal_substitution,hallucinated_b13_causal_substitution,Claim: Binary uses the digits 0 and 1. Supporting note: This representation underlies digital computation.,Claim: Binary uses the digits 0 and 1 because processors can only display two colors. Supporting note: This representation underlies digital computation.,0.3759727478027344,b13,-0.9272758,4.8984017
b13_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b13_definition_substitution,hallucinated_b13_definition_substitution,Claim: Binary uses the digits 0 and 1. Supporting note: This representation underlies digital computation.,Claim: Binary uses the letters 0 and 1. Supporting note: This representation underlies digital computation.,0.36038318276405334,b13,-0.29992583,3.977875
b13_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b13_entity_swap,hallucinated_b13_entity_swap,Claim: Binary uses the digits 0 and 1. Supporting note: This representation underlies digital computation.,Claim: Decimal uses the digits 0 and 1. Supporting note: This representation underlies digital computation.,0.74888014793396,b13,-0.84342456,4.216963
b13_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b13_numeric_distortion,hallucinated_b13_numeric_distortion,Claim: Binary uses the digits 0 and 1. Supporting note: This representation underlies digital computation.,"Claim: Binary uses the digits 0, 1, and 2. Supporting note: This representation underlies digital computation.",0.12947571277618408,b13,1.8805616,3.6998675
b13_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b13_role_inversion,hallucinated_b13_role_inversion,Claim: Binary uses the digits 0 and 1. Supporting note: This representation underlies digital computation.,Claim: The digits 0 and 1 use binary rather than binary using the digits 0 and 1. Supporting note: This representation underlies digital computation.,0.43415555357933044,b13,-1.3165692,4.4264674
b14_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b14_causal_substitution,hallucinated_b14_causal_substitution,Claim: Inflation refers to a sustained rise in the general price level. Supporting note: It reduces purchasing power when wages do not keep up.,Claim: Inflation refers to a sustained rise in the general price level because coins become physically larger. Supporting note: It reduces purchasing power when wages do not keep up.,0.3520808815956116,b14,0.5463324,4.514823
b14_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b14_definition_substitution,hallucinated_b14_definition_substitution,Claim: Inflation refers to a sustained rise in the general price level. Supporting note: It reduces purchasing power when wages do not keep up.,Claim: Inflation refers to a sustained rise in the general employment level. Supporting note: It reduces purchasing power when wages do not keep up.,0.28900855779647827,b14,1.6584606,4.1370134
b14_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b14_entity_swap,hallucinated_b14_entity_swap,Claim: Inflation refers to a sustained rise in the general price level. Supporting note: It reduces purchasing power when wages do not keep up.,Claim: Deflation refers to a sustained rise in the general price level. Supporting note: It reduces purchasing power when wages do not keep up.,0.5191300511360168,b14,0.37371984,4.7564726
b14_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b14_numeric_distortion,hallucinated_b14_numeric_distortion,Claim: Inflation refers to a sustained rise in the general price level. Supporting note: It reduces purchasing power when wages do not keep up.,Claim: Inflation refers to a sustained tenfold rise in the general price level. Supporting note: It reduces purchasing power when wages do not keep up.,0.3337961733341217,b14,0.52977335,2.2838743
b14_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b14_role_inversion,hallucinated_b14_role_inversion,Claim: Inflation refers to a sustained rise in the general price level. Supporting note: It reduces purchasing power when wages do not keep up.,Claim: The general price level refers to inflation rather than inflation referring to the price level trend. Supporting note: It reduces purchasing power when wages do not keep up.,0.7097803950309753,b14,-0.36529288,5.2280846
b15_causal_substitution,Evaluate the short factual answer below for the given knowledge item.,causal_substitution,truthful_b15_causal_substitution,hallucinated_b15_causal_substitution,Claim: A standard basketball team has five players on the court at one time. Supporting note: Bench players are not counted in the live on-court lineup.,Claim: A standard basketball team has five players on the court because each hoop requires two defenders and a referee. Supporting note: Bench players are not counted in the live on-court lineup.,0.23682142794132233,b15,-0.29492307,3.612286
b15_definition_substitution,Evaluate the short factual answer below for the given knowledge item.,definition_substitution,truthful_b15_definition_substitution,hallucinated_b15_definition_substitution,Claim: A standard basketball team has five players on the court at one time. Supporting note: Bench players are not counted in the live on-court lineup.,Claim: A standard basketball team has five coaches on the court at one time. Supporting note: Bench players are not counted in the live on-court lineup.,0.6337524056434631,b15,1.5368352,4.992107
b15_entity_swap,Evaluate the short factual answer below for the given knowledge item.,entity_swap,truthful_b15_entity_swap,hallucinated_b15_entity_swap,Claim: A standard basketball team has five players on the court at one time. Supporting note: Bench players are not counted in the live on-court lineup.,Claim: A standard soccer team has five players on the court at one time. Supporting note: Bench players are not counted in the live on-court lineup.,0.5585151314735413,b15,-0.12341448,3.687182
b15_numeric_distortion,Evaluate the short factual answer below for the given knowledge item.,numeric_distortion,truthful_b15_numeric_distortion,hallucinated_b15_numeric_distortion,Claim: A standard basketball team has five players on the court at one time. Supporting note: Bench players are not counted in the live on-court lineup.,Claim: A standard basketball team has six players on the court at one time. Supporting note: Bench players are not counted in the live on-court lineup.,0.18234963715076447,b15,0.5312303,4.1935945
b15_role_inversion,Evaluate the short factual answer below for the given knowledge item.,role_inversion,truthful_b15_role_inversion,hallucinated_b15_role_inversion,Claim: A standard basketball team has five players on the court at one time. Supporting note: Bench players are not counted in the live on-court lineup.,Claim: Five players have a basketball court at one time rather than a basketball team having five players on the court. Supporting note: Bench players are not counted in the live on-court lineup.,0.5593881011009216,b15,-1.6075414,3.797804
