task_family,outcome,residual_cluster,trace_id,residual_norm,static_projection_norm,transition_text
causal_micro_world,correct,0,trace_00094,0.9921019,0.12543453,Drought conditions lead to a decrease in water levels in the reservoir.  ==>  A decrease in reservoir water levels results in a drop in the reservoir level.
causal_micro_world,correct,0,trace_00009,0.99120665,0.13232298,Sensor has failed.  ==>  Backup is still on (not off).
causal_micro_world,correct,0,trace_00074,0.98747,0.15780704,"The rising queue length triggers an increase in latency.  ==>  As a result, the system's overall performance degrades due to increased latency."
causal_micro_world,correct,0,trace_00024,0.9839933,0.1782058,"As prices rise, demand for products from that factory may soften over time as consumers become less willing to pay the higher price.  ==>  The softening of demand is a result of the sharp increase in price caused by the initial reduction in supply."
causal_micro_world,correct,1,trace_00009,0.99253106,0.12199281,"Backup is still on (not off).  ==>  Since one of the conditions (sensor failing) is met, but not both (backup is on), the alarm does not trigger."
causal_micro_world,correct,1,trace_00044,0.9917828,0.12793319,Upstream contamination increases.  ==>  Downstream filtration load increases due to the rise in contamination.
causal_micro_world,correct,1,trace_00024,0.9883885,0.1519486,"With reduced supply, prices rise in the market.  ==>  As prices rise, demand for products from that factory may soften over time as consumers become less willing to pay the higher price."
causal_micro_world,correct,1,trace_00094,0.98647517,0.16391087,A drop in the reservoir level leads to a fall in turbine output.  ==>  A fall in turbine output leads to an increase in regional power shortages.
causal_micro_world,correct,2,trace_00004,0.98807263,0.15398853,Next month: Plant growth falls due to decreased rainfall.  ==>  The month after that: Rabbit population later falls due to reduced plant growth.
causal_micro_world,correct,2,trace_00094,0.9844197,0.17583455,A decrease in reservoir water levels results in a drop in the reservoir level.  ==>  A drop in the reservoir level leads to a fall in turbine output.
causal_micro_world,correct,2,trace_00019,0.96124524,0.2756948,"As dissolved oxygen levels decrease, fish stress increases.  ==>  With rising fish stress, fish populations are likely to decline or die off due to inability to cope with reduced oxygen levels."
causal_micro_world,correct,2,trace_00089,0.9201712,0.3915163,"With decreased brake fluid level, the braking system's effectiveness is compromised.  ==>  As a result, the vehicle takes longer to stop (stopping distance increases)."
causal_micro_world,correct,3,trace_00099,0.98262197,0.18561813,Heavy lock contention leads to increased database locks.  ==>  Increased database locks cause a decrease in transaction throughput.
causal_micro_world,correct,3,trace_00084,0.977824,0.20942867,Reduced fertilizer leads to slower plant growth.  ==>  Slower plant growth results in a smaller harvest size at a later time.
causal_micro_world,correct,3,trace_00044,0.9763862,0.21603243,"The increased filtration load puts additional strain on the system.  ==>  As a result of this strain, output purity decreases."
causal_micro_world,correct,3,trace_00069,0.96981645,0.24383637,"Accident risk increases due to the absence of guardrails.  ==>  As a result of increased accident risk, insurance costs will rise over time."
causal_micro_world,correct,4,trace_00009,0.9935075,0.11376677,Given condition for alarm to trigger: Both the sensor failing and the backup being off.  ==>  Sensor has failed.
causal_micro_world,correct,4,trace_00059,0.96854967,0.2488203,A sustained increase in study time leads to an increased test readiness.  ==>  An increased test readiness results in a lower error rate.
causal_micro_world,correct,4,trace_00089,0.96105754,0.27634844,"As a result, the vehicle takes longer to stop (stopping distance increases).  ==>  An increased stopping distance leads to a higher risk of collision."
causal_micro_world,correct,4,trace_00014,0.875505,0.4832092,Road ice increases as a result of the cold temperatures.  ==>  Vehicle speed decreases due to the road ice.
causal_micro_world,incorrect,0,trace_00054,0.9990612,0.043320976,"As the ice melts, it turns into liquid water.  ==>  The melted water collects at the bottom of the freezer."
causal_micro_world,incorrect,0,trace_00034,0.9451927,0.3265132,Server overheats.  ==>  Processing slows.
causal_micro_world,incorrect,0,trace_00064,0.9258158,0.377975,"With no fuel reaching the engine, fuel pressure drops.  ==>  The drop in fuel pressure causes a decrease in engine output."
causal_micro_world,incorrect,1,trace_00039,0.98903036,0.14771248,Wilting results in reduced shade coverage.  ==>  Reduced shade coverage allows more sunlight to reach the ground.
causal_micro_world,incorrect,1,trace_00034,0.9862619,0.16518918,Processing slows.  ==>  Request backlog grows.
causal_micro_world,incorrect,1,trace_00079,0.97730654,0.21182983,"Room temperature falls.  ==>  If room temperature falls far enough, pipes may freeze."
causal_micro_world,incorrect,1,trace_00054,0.97152007,0.23695746,The freezer loses power.  ==>  Ice inside the freezer begins to melt due to the lack of refrigeration.
causal_micro_world,incorrect,2,trace_00039,0.9795182,0.20135593,Soil drying leads to plant wilting.  ==>  Wilting results in reduced shade coverage.
causal_micro_world,incorrect,2,trace_00049,0.9793324,0.20225736,"Without product B, the pH of the solution does not change.  ==>  As a result, the indicator stays blue."
causal_micro_world,incorrect,3,trace_00034,0.99370134,0.112060875,Cooling fails.  ==>  Server overheats.
causal_micro_world,incorrect,3,trace_00054,0.99167556,0.12876153,"Ice inside the freezer begins to melt due to the lack of refrigeration.  ==>  As the ice melts, it turns into liquid water."
causal_micro_world,incorrect,3,trace_00064,0.98333085,0.18182537,"A fuel line blockage prevents fuel from flowing to the engine.  ==>  With no fuel reaching the engine, fuel pressure drops."
causal_micro_world,incorrect,3,trace_00079,0.9812809,0.19258192,"If room temperature falls far enough, pipes may freeze.  ==>  Pipes freezing can cause water to burst or leak."
commonsense_multihop,correct,0,trace_00015,0.99436986,0.105965346,"They opened their umbrella to protect themselves from the rain.  ==>  After using the umbrella, they walked back inside without closing it or taking it off."
commonsense_multihop,correct,0,trace_00025,0.9899671,0.14129786,"The increased movement of molecules on the outside surface of the bottle led to evaporation of water vapor from the cold glass.  ==>  This process is known as condensation, where warm air meets a cooler surface, causing moisture to be released into the atmosphere."
commonsense_multihop,correct,0,trace_00100,0.9839333,0.17853634,"The force of the impact caused the eggshell to crack or break, resulting in the egg breaking.  ==>  In contrast, when the egg was dropped onto the thick cushion, it absorbed some of the impact energy due to the cushion's elasticity and ability to deform."
commonsense_multihop,correct,0,trace_00070,0.98256576,0.18591546,The metal spoon is made of a material with high thermal conductivity.  ==>  Thermal conductivity is the ability of a material to transfer heat energy.
commonsense_multihop,correct,1,trace_00015,0.9854793,0.16979593,"As a result, the rain continued to fall on them, wetting their shoes.  ==>  However, since they were already under the umbrella, the rain did not reach their body, keeping their shirt dry."
commonsense_multihop,correct,1,trace_00095,0.97030485,0.24188538,The color of the cars affects how they absorb solar radiation.  ==>  Dark-colored surfaces (like black) tend to absorb more solar radiation than light-colored surfaces (like white).
commonsense_multihop,correct,1,trace_00100,0.9681734,0.2502808,"The egg was dropped from a certain height onto two different surfaces: concrete and a thick cushion.  ==>  When the egg hit the concrete, it experienced a significant impact due to its hardness and lack of give."
commonsense_multihop,correct,1,trace_00010,0.9597805,0.2807518,"Yeast fermentation continued, causing the dough to rise further.  ==>  Moisture from the kitchen environment contributed to the dough's growth and expansion."
commonsense_multihop,correct,2,trace_00015,0.99476266,0.10221166,The person went outside during a rain shower.  ==>  They opened their umbrella to protect themselves from the rain.
commonsense_multihop,correct,2,trace_00100,0.98824126,0.15290268,"When the egg hit the concrete, it experienced a significant impact due to its hardness and lack of give.  ==>  The force of the impact caused the eggshell to crack or break, resulting in the egg breaking."
commonsense_multihop,correct,2,trace_00010,0.98041564,0.19694029,"Moisture from the kitchen environment contributed to the dough's growth and expansion.  ==>  Lack of heat inhibition allowed the yeast to continue fermenting, leading to increased volume."
commonsense_multihop,correct,2,trace_00100,0.9770167,0.21316306,"In contrast, when the egg was dropped onto the thick cushion, it absorbed some of the impact energy due to the cushion's elasticity and ability to deform.  ==>  This reduced impact energy helped to distribute the force more evenly across the eggshell, reducing the likelihood of cracking or breaking."
commonsense_multihop,correct,3,trace_00025,0.9892018,0.14655982,"When removed from the refrigerator, it came into contact with warmer air temperatures.  ==>  As a result of this temperature change, the glass bottle began to heat up."
commonsense_multihop,correct,3,trace_00055,0.98841214,0.15179384,"When the air is cooled by the cooler indoor temperature, it contracts further and becomes denser.  ==>  The difference in density between the warmer lenses and the cooler surrounding air creates a pressure gradient."
commonsense_multihop,correct,3,trace_00080,0.98704857,0.16042219,Condensation occurs when water vapor in the air meets a cooler surface and changes back into liquid water.  ==>  The resulting droplets of water on the mirror caused it to become cloudy.
commonsense_multihop,correct,3,trace_00015,0.9825681,0.1859029,"After using the umbrella, they walked back inside without closing it or taking it off.  ==>  As a result, the rain continued to fall on them, wetting their shoes."
commonsense_multihop,correct,4,trace_00055,0.97909075,0.20342425,"As the lenses warm up, they expand and become less dense.  ==>  This change in density causes the air molecules trapped between the lens and the frame to contract and become more dense."
commonsense_multihop,incorrect,0,trace_00005,0.99882394,0.048483968,"As the ice cube melted, it released latent heat energy into its surroundings.  ==>  This released heat energy onto the metal tray."
commonsense_multihop,incorrect,0,trace_00045,0.99424607,0.10712018,"The sun's rays pass through the glass of the car window, warming the interior.  ==>  The warm air inside the car is trapped by the closed windows and doors."
commonsense_multihop,incorrect,0,trace_00035,0.9936653,0.11238032,"As the sun continues to move towards the horizon, its rays hit the ground at an increasingly shallow angle.  ==>  The shorter shadows are cast when the sun is overhead because the direct sunlight hits the ground more directly."
commonsense_multihop,incorrect,0,trace_00065,0.99288774,0.11905476,"As a result, when the mixture of salt and ice is exposed to air, the water molecules in the ice begin to evaporate more quickly.  ==>  The evaporation process absorbs heat energy from the surrounding environment, which helps to raise the temperature of the pavement."
commonsense_multihop,incorrect,1,trace_00060,0.99027765,0.13910478,"Over time, the starches converted into sugars through a process called retrogradation.  ==>  As the sugars accumulated, they caused the gluten network in the bread to tighten, leading to hardness."
commonsense_multihop,incorrect,1,trace_00065,0.98907506,0.14741251,"This means that the temperature at which water begins to freeze is lowered from 0°C (32°F) to a lower value.  ==>  As a result, when the mixture of salt and ice is exposed to air, the water molecules in the ice begin to evaporate more quickly."
commonsense_multihop,incorrect,1,trace_00005,0.9806703,0.19566739,This released heat energy onto the metal tray.  ==>  The metal tray is a conductor of heat and absorbed the heat energy from the melting ice cube.
commonsense_multihop,incorrect,1,trace_00085,0.97391015,0.22693363,"The bag of chips is sealed, preventing air from escaping.  ==>  Since the inside pressure is lower than outside, the bag expands to equalize the pressure difference."
commonsense_multihop,incorrect,2,trace_00065,0.99030495,0.13891064,"When salt is added to icy pavement, it lowers the freezing point of water.  ==>  This means that the temperature at which water begins to freeze is lowered from 0°C (32°F) to a lower value."
commonsense_multihop,incorrect,2,trace_00030,0.98837113,0.15206084,"The heat from the oil expanded the water molecules inside the kernel.  ==>  As the water molecules expanded, they turned into steam."
commonsense_multihop,incorrect,2,trace_00040,0.98278695,0.18474227,"The wooden spoon is made of wood, which is a material with thermal conductivity.  ==>  When the spoon was initially at room temperature and placed in the hot soup, it began to transfer heat from the soup to its own surface."
commonsense_multihop,incorrect,2,trace_00030,0.98176384,0.19010454,"The exposed surface of the kernel absorbed more oil and expanded further.  ==>  This process repeated for each kernel, resulting in a fluffy texture."
commonsense_multihop,incorrect,3,trace_00005,0.9927532,0.120170556,"This increase in air molecule movement led to an increase in air pressure near the surface of the metal tray.  ==>  As a result of the increased air pressure, water vapor from the air condensed onto the metal tray, causing it to become wet."
commonsense_multihop,incorrect,3,trace_00090,0.9894386,0.14495231,"As the soup cools, its temperature decreases due to heat loss through conduction with the surrounding air.  ==>  Since the soup has a larger surface area in contact with the air, it loses heat more quickly."
commonsense_multihop,incorrect,3,trace_00065,0.9852464,0.17114179,"The evaporation process absorbs heat energy from the surrounding environment, which helps to raise the temperature of the pavement.  ==>  By raising the temperature of the pavement, the melting point of the ice is increased, allowing it to melt more quickly."
commonsense_multihop,incorrect,3,trace_00060,0.97831136,0.2071397,"Air contains moisture and oxygen, which can react with the starches in bread.  ==>  Over time, the starches converted into sugars through a process called retrogradation."
commonsense_multihop,incorrect,4,trace_00045,0.96815234,0.2503622,"As the air heats up, it expands and becomes less dense than the cooler outdoor air.  ==>  This density difference creates a temperature gradient between the hot air inside the car and the cooler air outside."
commonsense_multihop,incorrect,4,trace_00005,0.95164394,0.30720338,"As the metal tray warmed up, it began to transfer some of this heat energy to its surroundings through conduction.  ==>  The surrounding air molecules gained kinetic energy and started moving faster due to the increased temperature."
symbolic_logic,correct,0,trace_00032,0.99428505,0.10675794,"However, we know that Mina did not receive a certificate.  ==>  Therefore, it can be inferred that Mina must not have passed the exam."
symbolic_logic,correct,0,trace_00092,0.9932069,0.116361454,No plens are skars.  ==>  Some drims are yals (by assumption).
symbolic_logic,correct,0,trace_00032,0.99083513,0.13507722,"Mina received no certificate.  ==>  Since passing the exam is sufficient for receiving a certificate, if Mina had passed, she would have received a certificate."
symbolic_logic,correct,0,trace_00017,0.9904433,0.13792102,"Since all fads are jops, any rens that are fads must also be jops.  ==>  Therefore, some rens are jops."
symbolic_logic,correct,1,trace_00017,0.9972255,0.074438624,We know that if some rens are fads.  ==>  All fads are jops.
symbolic_logic,correct,1,trace_00092,0.99340004,0.114701755,"If a dim is a yal, and no plens are skars, then the yal cannot be a skar.  ==>  Therefore, some yals are not skars."
symbolic_logic,correct,1,trace_00062,0.9930384,0.117791176,"Quars are a subset of brims (from step 2)  ==>  By transitive property, nels are a subset of brims"
symbolic_logic,correct,1,trace_00037,0.9867412,0.16230114,"Joon entered the hall.  ==>  Since being invited is necessary for entering the hall, it must be true that Joon was invited to enter the hall."
symbolic_logic,correct,2,trace_00007,0.9900871,0.14045462,"Given that all lums are nops.  ==>  Since all lums are nops (step 2), and no kets are lums (step 1), it follows that no kets are nops."
symbolic_logic,correct,2,trace_00057,0.9860611,0.1663834,"If no torps are haves, then there cannot be any torps that have the property of being a ""have"".  ==>  Since some mils are torps, and we know that no torps can be haves, it means that some mils do not have the property of being a ""have""."
symbolic_logic,correct,2,trace_00092,0.98283374,0.18449347,"If all drims were not yals, then no drims would be yals.  ==>  Since some drims are yals, it is possible that at least one dim is also a yal."
symbolic_logic,correct,2,trace_00052,0.9775722,0.2106002,"We also know that no sopts are drens.  ==>  If we combine steps 1 and 2, we can conclude that no flern is a dren (since if something were both a flern and a dren, it would be a sopt)."
symbolic_logic,correct,3,trace_00032,0.9973935,0.072154194,We know that passing the exam is sufficient for receiving a certificate.  ==>  Mina received no certificate.
symbolic_logic,correct,3,trace_00092,0.9948802,0.10106104,All drims are plens.  ==>  No plens are skars.
symbolic_logic,correct,3,trace_00037,0.99231356,0.12374871,We know that being invited is necessary for entering the hall.  ==>  Joon entered the hall.
symbolic_logic,correct,3,trace_00027,0.9916001,0.12934183,"Since switch A is on, but switch B is off, this condition is not met.  ==>  Therefore, the machine does not turn on."
symbolic_logic,correct,4,trace_00062,0.99853456,0.054117046,Nels are a subset of quars (from step 1)  ==>  Quars are a subset of brims (from step 2)
symbolic_logic,correct,4,trace_00062,0.98612183,0.16602309,All nels are quars  ==>  All quars are brims
symbolic_logic,incorrect,0,trace_00042,0.99744534,0.07143376,"However, since P is not sufficient for Q, we cannot conclude that Q must have occurred solely because P occurred.  ==>  We can only conclude that Q may or may not have occurred given that P occurred."
symbolic_logic,incorrect,0,trace_00002,0.9950741,0.09913379,"We can only conclude that if there is at least one bloop that is also a raz, then some glims could be razs (but we cannot guarantee this).  ==>  Therefore, we cannot definitively conclude that some glims are razs based on the given information."
symbolic_logic,incorrect,0,trace_00097,0.99329126,0.11563907,Being approved is not necessary for publishing.  ==>  The paper was published despite this.
symbolic_logic,incorrect,0,trace_00002,0.99241084,0.12296615,We know that all glims are bloops (all A implies all B).  ==>  Some bloops are razs (some B implies some C).
symbolic_logic,incorrect,1,trace_00002,0.9929489,0.11854357,"The given information does not provide any direct connection between glims and razs.  ==>  We can only conclude that if there is at least one bloop that is also a raz, then some glims could be razs (but we cannot guarantee this)."
symbolic_logic,incorrect,1,trace_00012,0.9920166,0.12610744,"From steps 1 and 2, we can conclude that no tars are pels (since if something is a tar, it's also an miv, but mivs cannot be pels).  ==>  Therefore, based on the given information, there is no possibility for any tar to be a pel."
symbolic_logic,incorrect,1,trace_00097,0.9898414,0.14217637,"The paper was published despite this.  ==>  Therefore, it must be that being approved is not a requirement for publication."
symbolic_logic,incorrect,1,trace_00002,0.97965693,0.20067964,"Some bloops are razs (some B implies some C).  ==>  However, the conclusion ""some glims are razs"" requires a specific instance of a gloim being a raz."
symbolic_logic,incorrect,2,trace_00082,0.9932944,0.11561176,"Some pels are ronts (given).  ==>  From steps 1 and 2, we can conclude that some pels are also neds."
symbolic_logic,incorrect,2,trace_00012,0.99084395,0.13501266,"Given that no mivs are pels.  ==>  From steps 1 and 2, we can conclude that no tars are pels (since if something is a tar, it's also an miv, but mivs cannot be pels)."
symbolic_logic,incorrect,2,trace_00047,0.9905592,0.13708551,"If neither rule X nor rule Y holds, then both cannot be true.  ==>  Therefore, if neither rule X nor rule Y holds, it follows that neither can be true."
symbolic_logic,incorrect,2,trace_00072,0.9883768,0.15202425,"No darps are mels.  ==>  If all crols are vents (step 1) and some vents are darps (step 2), then at least one vent is a darp."
symbolic_logic,incorrect,3,trace_00072,0.99727803,0.07373399,"Since no darps are mels (step 3), we can conclude that there are no mels among the vents that are also darps.  ==>  However, we cannot conclude that all crols are not mels because it's possible that some crols are not vents or darps."
symbolic_logic,incorrect,3,trace_00042,0.9958547,0.0909582,"Since P is necessary for Q, if P occurs, then it is possible that Q has occurred.  ==>  However, since P is not sufficient for Q, we cannot conclude that Q must have occurred solely because P occurred."
symbolic_logic,incorrect,3,trace_00072,0.99429727,0.1066439,"If all crols are vents (step 1) and some vents are darps (step 2), then at least one vent is a darp.  ==>  Since no darps are mels (step 3), we can conclude that there are no mels among the vents that are also darps."
symbolic_logic,incorrect,3,trace_00012,0.9880115,0.15438055,Given that all tars are mivs.  ==>  Given that no mivs are pels.
temporal_ordering,correct,0,trace_00003,0.99482864,0.10156733,- Mina arrived before Joon.  ==>  - Joon arrived after Sora.
temporal_ordering,correct,0,trace_00003,0.98034793,0.19727615,- Joon arrived after Sora.  ==>  Analyze the relationships:
temporal_ordering,correct,0,trace_00003,0.9751993,0.22132859,"- Since Mina arrived before Joon, and Joon arrived after Sora, it means that Mina must have arrived before Sora.  ==>  Conclusion:"
temporal_ordering,correct,0,trace_00008,0.9733583,0.2292894,"Determine the order of events based on the given information.  ==>  Since Event A happens first, followed by Event B, and then Event C, we can conclude that Event C is the last to happen."
temporal_ordering,correct,1,trace_00023,0.99682975,0.079564266,"Identify that Task Z finished before Task X.  ==>  Determine the order of Tasks X and Y based on the information that Task W finished after Task X but before Task Y, which implies Task X must have finished before Task W."
temporal_ordering,correct,1,trace_00003,0.9704052,0.24148235,"Conclusion:  ==>  - Based on the given information, Sora did not arrive first; however, since we are looking for who arrived first among Mina, Joon, and Sora, and Mina arrived before Joon, then Mina is the one who arrived first."
temporal_ordering,correct,2,trace_00023,0.9882594,0.15278505,"Determine the order of Tasks X and Y based on the information that Task W finished after Task X but before Task Y, which implies Task X must have finished before Task W.  ==>  Combine steps 1 and 2 to establish the order: Task Z -> Task X -> Task W -> Task Y"
temporal_ordering,correct,2,trace_00003,0.98221534,0.18775745,Determine who arrived before whom:  ==>  - Mina arrived before Joon.
temporal_ordering,correct,2,trace_00033,0.9650181,0.26218343,"Since Chapter 3 was read after Chapter 1 but before Chapter 4, it must be read after Chapter 2.  ==>  The order is: Chapter 1, Chapter 2, Chapter 3, Chapter 4."
temporal_ordering,correct,2,trace_00033,0.96497446,0.26234373,"Determine that Chapter 2 must be read before both Chapter 3 and Chapter 4, since it is read after Chapter 1 and before both of them.  ==>  Since Chapter 3 was read after Chapter 1 but before Chapter 4, it must be read after Chapter 2."
temporal_ordering,correct,3,trace_00033,0.9889095,0.14851893,"Identify the relationships between the chapters.  ==>  Determine that Chapter 2 must be read before both Chapter 3 and Chapter 4, since it is read after Chapter 1 and before both of them."
temporal_ordering,correct,3,trace_00003,0.977897,0.20908739,"Analyze the relationships:  ==>  - Since Mina arrived before Joon, and Joon arrived after Sora, it means that Mina must have arrived before Sora."
temporal_ordering,correct,4,trace_00008,0.9819873,0.18894695,Identify the sequence of events: A -> B -> C  ==>  Determine the order of events based on the given information.
temporal_ordering,incorrect,0,trace_00093,0.99773455,0.06727325,Review  ==>  Drafting
temporal_ordering,incorrect,0,trace_00073,0.9964302,0.08442052,"Since awards are after the main event, the main event cannot be first  ==>  Therefore, the main event is second"
temporal_ordering,incorrect,0,trace_00053,0.99540305,0.095774405,Identify the finish order: Nari -> Daeho -> Sujin  ==>  Determine who finished last (Sujin)
temporal_ordering,incorrect,0,trace_00078,0.9923563,0.12340538,"Before having lunch, she must have done something else.  ==>  The only activity mentioned that could fit between attending class and eating lunch is practicing a sport (practice)."
temporal_ordering,incorrect,1,trace_00088,0.99846107,0.055457275,The bell rang.  ==>  The lecture began.
temporal_ordering,incorrect,1,trace_00068,0.9973968,0.072107345,Repair  ==>  Testing
temporal_ordering,incorrect,1,trace_00093,0.99508303,0.099043556,Revision  ==>  Review
temporal_ordering,incorrect,1,trace_00058,0.99391633,0.11013775,Pickup  ==>  Package scanning
temporal_ordering,incorrect,2,trace_00078,0.99626553,0.086342186,"The only activity mentioned that could fit between attending class and eating lunch is practicing a sport (practice).  ==>  Therefore, Hana practiced before eating lunch."
temporal_ordering,incorrect,2,trace_00058,0.99572486,0.09236933,Sorting  ==>  Delivery
temporal_ordering,incorrect,2,trace_00083,0.9952159,0.09770025,Evaluation  ==>  Training
temporal_ordering,incorrect,2,trace_00018,0.99090743,0.13454573,Phone call  ==>  Breakfast
temporal_ordering,incorrect,3,trace_00068,0.9980308,0.06272502,Inspection  ==>  Repair
temporal_ordering,incorrect,3,trace_00048,0.99559575,0.09375113,Concert rehearsal  ==>  Dinner
temporal_ordering,incorrect,3,trace_00088,0.9939391,0.10993237,Students arrived and took their seats.  ==>  The bell rang.
temporal_ordering,incorrect,3,trace_00038,0.99223614,0.12436831,Planting  ==>  Seed sprouting
temporal_ordering,incorrect,4,trace_00098,0.99802,0.06289657,Check-in  ==>  Security
